6 30
学生姓名:黄强辉 学号:18080201201 总分:458
学生姓名:苏选 学号:18080201202 总分:490
学生姓名:罗元发 学号:18080201203 总分:436
学生姓名:钱生禄 学号:18080201204 总分:510
学生姓名:张三 学号:18080201205 总分:385
学生姓名:李四 学号:18080201206 总分:465
学生姓名:王二 学号:18080201207 总分:440
学生姓名:李九 学号:18080201208 总分:384
学生姓名:樊玉群 学号:18080201209 总分:497
学生姓名:余淮 学号:18080201210 总分:571
学生姓名:赵莉 学号:18080201211 总分:332
学生姓名:于学忠 学号:18080201212 总分:402
学生姓名:王子久 学号:18080201213 总分:449
学生姓名:赵大华 学号:18080201214 总分:470
学生姓名:吕文达 学号:18080201215 总分:405
学生姓名:刘仁业 学号:18080201216 总分:389
学生姓名:严斯南 学号:18080201217 总分:429
学生姓名:谭平山 学号:18080201218 总分:428
学生姓名:贾德善 学号:18080201219 总分:384
学生姓名:泛黄岁 学号:18080201220 总分:379
学生姓名:李开富 学号:18080201221 总分:401
学生姓名:钟衍枫 学号:18080201222 总分:347
学生姓名:刘乃超 学号:18080201223 总分:338
学生姓名:杨惟义 学号:18080201224 总分:330
学生姓名:林君雄 学号:18080201225 总分:401
学生姓名:节振国 学号:18080201226 总分:356
学生姓名:杨勇 学号:18080201227 总分:395
学生姓名:甘铁生 学号:18080201228 总分:350
学生姓名:赵莉 学号:18080201229 总分:490
学生姓名:朱希亮 学号:18080201230 总分:599
